"NAVN";"ADRESSE1";"ADRESSE2";"ADRESSE3";"LANDKODE";"POSTNR";"POSTDST";"CVR";"AUTNR";"FORRETNINGSOMR"
"Dansk Brænder Service ApS";"Lufthavnvej 29";"";"";"DK";"5270";"Odense N";"37049379";"GFPR-12117";"Gasgodkendelse på installationer m/procesudstyr"
"Bohlen & Doyen GmbH";"Hauptstrasse 248";"";"Postfach 1180";"DE";"26639";"Wiesmoor";"";"GFPR-13085";"Gasgodkendelse på installationer m/procesudstyr"
"Jysk Gas- og VVS-teknik ApS";"Stårupgårdvej 4";"";"";"DK";"7840";"Højslev";"37061808";"GFSA-12074";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Caverion Danmark A/S";"Literbuen 18";"";"";"DK";"2740";"Skovlunde";"10112354";"GFSA-12867";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Taulborg VVS ApS";"Erhvervsparken 6";"";"";"DK";"8920";"Randers NV";"34888973";"GFSA-12749";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"EC-POWER A/S";"Samsøvej 25";"";"";"DK";"8382";"Hinnerup";"19228509";"GFMT-12700";"Gasgodkendelse, gasdrevne motoranlæg"
"Rahbek VVS ApS";"Fabriksvej 1";"";"";"DK";"7330";"Brande";"37889733";"GFSA-12726";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Flemming Svendsen VVS ApS";"Lille Tværstræde 3";"";"";"DK";"3700";"Rønne";"26656117";"GFSA-12858";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Arne Bach Pedersen VVS ApS";"Industrivej 2 B";"";"";"DK";"9640";"Farsø";"29625417";"GFSA-13302";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Petersen Tegl A/S";"Nybølnorvej 14";"";"";"DK";"6310";"Broager";"28672012";"GFSA-13153";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Petersen Tegl A/S";"Nybølnorvej 14";"";"";"DK";"6310";"Broager";"28672012";"GFPR-13203";"Gasgodkendelse på installationer m/procesudstyr"
"KEMP & LAURITZEN A/S";"Roskildevej 12";"";"";"DK";"2620";"Albertslund";"57471719";"GFSA-13133";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"DK Gasteknik";"Hamborgvej 19";"";"";"DK";"8740";"Brædstrup";"27270255";"GFSA-13418";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Fjernvarme Fyn Service A/S";"Havnegade 120";"";"";"DK";"5000";"Odense C";"39055775";"GFSA-13419";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Nordic Furnaces AB";"Regattagatan 13";"";"";"SE";"723 48";"Västerås";"";"GFPR-13485";"Gasgodkendelse på installationer m/procesudstyr"
"Fieldcore Service Solutions";"Samsøvej 31";"";"";"DK";"8382";"Hinnerup";"35855084";"GFMT-13513";"Gasgodkendelse, gasdrevne motoranlæg"
"Taulborg VVS ApS";"Erhvervsparken 6";"";"";"DK";"8920";"Randers NV";"34888973";"GFPR-13512";"Gasgodkendelse på installationer m/procesudstyr"
"DK Gasteknik";"Hamborgvej 19";"";"";"DK";"8740";"Brædstrup";"27270255";"GFPR-13637";"Gasgodkendelse på installationer m/procesudstyr"
"Energy Solutions ApS";"Odensevej 45";"";"";"DK";"5610";"Assens";"36465093";"GFSA-13632";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Brændselsforeningen A/S";"N. A. Christensens Vej 20";"";"";"DK";"7900";"Nykøbing M";"39706199";"GFSA-13963";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Energiservice + A/S";"Valhøjs Alle 160";"";"";"DK";"2610";"Rødovre";"30362748";"GFSA-13752";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
